ID,X,Y
1,606877.6986999996,4916911.422800001
2,602567.0576,4907413.237199999
3,605029.9713000003,4904983.040999999
4,608812.0672000004,4909422.6119
5,606507.3404999999,4915435.857999999
6,610680.4578,4901647.9322999995
7,603446.5932,4918043.130899999
8,606414.8091000002,4911141.8639
9,600455.4561000001,4919146.309800001
10,616016.6573999999,4918000.6906
11,599997.0902000004,4917110.3379
12,611601.5774999997,4914466.7831
13,602156.0146000003,4903442.563999999
14,616629.1213999996,4914393.9441
15,600040.2209999999,4904769.9285
16,615082.4627,4913566.4626
17,615524.8278000001,4918213.983100001
18,609411.1796000004,4916089.588099999
19,609194.0258999998,4919266.636299999
20,614617.8962000003,4905939.4365
21,616198.2869999995,4902761.5736
22,617598.1971000005,4915094.9398
23,616183.1884000003,4903700.8704
24,601975.8523000004,4907827.393100001
25,613427.6012000004,4919596.342
26,618091.2164000003,4917366.868899999
27,616682.5450999998,4910771.8171
28,617282.6162999999,4910593.394099999
29,601586.6023000004,4917331.557600001
30,619262.0201000003,4915349.732899999
31,607805.1343999999,4920389.307399999
32,603836.216,4908942.708900001
33,612493.9199999999,4912831.7015
34,619250.3230999997,4904779.9421
35,602433.5618000003,4911102.1919
36,614462.8439999996,4908973.6439
37,612512.8334999997,4907423.5996
38,613019.0279999999,4907363.6362
39,611592.0225,4913062.3693
40,615108.4648000002,4901194.9461
41,609737.6819000002,4916121.8883
42,618294.6898999996,4915069.534600001
43,609997.0948000001,4904338.425000001
44,599841.4704999998,4902735.3565
45,601510.4730000002,4915146.5671
46,600365.3847000003,4911834.5932
47,607579.0926000001,4917983.8838
48,610425.4851000002,4900781.5348000005
49,608915.8162000002,4900746.6647
50,618397.0420000004,4911651.2881000005
