ID,X,Y
1,600109.3668,4909821.4662999995
2,605062.2493000003,4916361.040200001
3,603466.2931000004,4900686.718599999
4,606553.6273999996,4905975.6472
5,617452.9910000004,4912343.8934
6,618443.4704,4916817.4509
7,609473.6934000002,4919277.3167
8,601364.0357999997,4910728.3127
9,607201.9397,4908310.0845
10,601144.0360000003,4908236.1603999995
11,614775.5283000004,4903391.356899999
12,609277.4080999997,4908228.2883
13,606304.7918999996,4916768.193399999
14,609709.2377000004,4914283.5274
15,601407.6535,4904929.1042
16,600873.7334000003,4913206.8188000005
17,619197.2040999997,4914963.1031
18,614130.6187000005,4913637.1634
19,607170.4115000004,4917834.793500001
20,610830.1281000003,4912391.453500001
21,612970.4456000002,4901655.374399999
22,607706.6287000002,4910119.0999
23,600594.9282,4920120.288799999
24,607364.9815999996,4908640.1964
25,615339.1063000001,4918300.3836
26,617560.4176000003,4911365.7411
27,602971.3126999997,4912893.237299999
28,608417.3547,4912187.899800001
29,610848.2380999997,4907747.885199999
30,611325.3081999999,4905660.6842
31,606012.6787,4912249.6676
32,602340.5543999998,4914783.050100001
33,616913.2697000001,4903042.0371
34,618174.017,4912863.1643
35,604543.1953999996,4900976.5154
36,616346.5843000002,4911523.325300001
37,615753.5368999997,4905510.925899999
38,610598.5526,4917368.083699999
39,602619.0392000005,4906953.5649999995
40,618073.8098999998,4907765.84
41,614450.5460999999,4904018.258199999
42,605889.5968000004,4906731.102600001
43,615840.2048000004,4911930.7325
44,618468.4024,4914679.396299999
45,613426.3634000001,4903890.6798
46,602517.6290999996,4918831.1132
47,604580.9210999999,4914812.889699999
48,616112.6064999998,4906723.920299999
49,601003.8866999997,4912506.723099999
50,616437.2653000001,4914030.328400001
